Date,DAY,MONTH,YEAR,Open,Close
22-12-2015,22,12,2015,17253.55078,17417.26953
21-12-2015,21,12,2015,17154.93945,17251.61914
18-12-2015,18,12,2015,17495.03906,17128.55078
17-12-2015,17,12,2015,17756.53906,17495.83984
16-12-2015,16,12,2015,17530.84961,17749.08984
15-12-2015,15,12,2015,17374.7793,17524.91016
14-12-2015,14,12,2015,17277.10938,17368.5
11-12-2015,11,12,2015,17574.75,17265.21094
10-12-2015,10,12,2015,17493.16992,17574.75
09-12-2015,9,12,2015,17558.17969,17492.30078
08-12-2015,8,12,2015,17703.99023,17568
07-12-2015,7,12,2015,17845.49023,17730.50977
04-12-2015,4,12,2015,17482.67969,17847.63086
03-12-2015,3,12,2015,17741.57031,17477.66992
02-12-2015,2,12,2015,17883.14063,17729.67969
01-12-2015,1,12,2015,17719.7207,17888.34961
30-11-2015,30,11,2015,17802.83984,17719.91992
27-11-2015,27,11,2015,17806.03906,17813.39063
25-11-2015,25,11,2015,17820.81055,17813.39063
24-11-2015,24,11,2015,17770.90039,17812.18945
23-11-2015,23,11,2015,17823.60938,17792.67969
20-11-2015,20,11,2015,17732.75,17823.81055
19-11-2015,19,11,2015,17739.83008,17732.75
18-11-2015,18,11,2015,17485.49023,17737.16016
17-11-2015,17,11,2015,17486.99023,17489.5
16-11-2015,16,11,2015,17229.93945,17483.00977
13-11-2015,13,11,2015,17439.25,17245.24023
12-11-2015,12,11,2015,17691.92969,17448.07031
11-11-2015,11,11,2015,17769.5,17702.2207
10-11-2015,10,11,2015,17724.13086,17758.21094
09-11-2015,9,11,2015,17900.7793,17730.48047
06-11-2015,6,11,2015,17855.2207,17910.33008
05-11-2015,5,11,2015,17871.25,17863.42969
04-11-2015,4,11,2015,17929.58008,17867.58008
03-11-2015,3,11,2015,17819.74023,17918.15039
02-11-2015,2,11,2015,17672.61914,17828.75977
30-10-2015,30,10,2015,17756.59961,17663.53906
29-10-2015,29,10,2015,17771.5,17755.80078
28-10-2015,28,10,2015,17586.68945,17779.51953
27-10-2015,27,10,2015,17608.89063,17581.42969
26-10-2015,26,10,2015,17649.57031,17623.05078
23-10-2015,23,10,2015,17525.10938,17646.69922
22-10-2015,22,10,2015,17180.88086,17489.16016
21-10-2015,21,10,2015,17225.92969,17168.60938
20-10-2015,20,10,2015,17228.4707,17217.10938
19-10-2015,19,10,2015,17209.42969,17230.53906
